Membership No  Date Joined  Active  
    30164      2018-11-3    no    
    88465      2019-4-14    no    
    26666      2017-10-9    yes   
    44691      2016-6-22    no    
    59383      2015-12-14   no    
    37130      2016-9-20    yes   
    41261      2019-4-13    yes   
    70192      2019-2-20    yes   
    87986      2019-5-1     no    
    62625      2019-7-2     yes   
    59711      2018-11-11   no    
    56593      2016-5-24    yes   
    60870      2019-3-18    yes   
    73355      2017-7-21    yes   
    36257      2018-9-25    yes   
    63101      2018-1-15    yes   
    67382      2015-9-20    yes   
    69889      2018-7-4     no    
    91628      2015-5-3     no    
    59875      2019-6-19    no    
