Membership No  Date Joined  Active  
    84669      2020-1-2     no    
    75011      2020-1-4     no    
    13318      2015-12-20   no    
    89043      2018-3-23    no    
    74969      2015-6-14    no    
    87853      2018-8-5     no    
    48109      2020-4-3     no    
    36949      2018-8-6     no    
    95137      2015-1-1     no    
    24411      2020-5-23    no    
    26228      2015-4-13    no    
    79582      2019-10-1    no    
    83408      2015-7-25    no    
    67920      2016-3-16    no    
    65467      2018-12-15   no    
    76301      2016-7-10    no    
