Membership No  Date Joined  Active  
    77585      2017-5-6     yes   
    70265      2020-4-20    no    
    97354      2019-11-7    no    
    53249      2019-2-4     yes   
    86313      2016-6-25    yes   
    48581      2017-10-18   no    
    63147      2020-8-18    yes   
    32892      2020-9-24    yes   
    66618      2019-5-6     yes   
    63725      2017-8-12    no    
    62780      2015-2-23    no    
    25580      2015-12-10   yes   
    95031      2017-2-3     yes   
    39588      2020-4-8     yes   
    96006      2019-9-8     yes   
    75658      2016-4-16    no    
    32886      2016-12-18   no    
    45440      2018-11-20   yes   
    45444      2019-5-6     no    
    48539      2017-1-24    no    
